forecast_month,feature,shap_importance,shap_value,abs_shap
2024-01,export_pastcov_lag-1,0.9884586930274964,0.9884586930274964,0.9884586930274964
2024-01,unemployment_rate_pastcov_lag-2,0.8946666121482849,0.8946666121482849,0.8946666121482849
2024-01,import_pastcov_lag-2,0.5056828260421753,-0.5056828260421753,0.5056828260421753
2024-02,export_pastcov_lag-1,1.2940008640289309,1.2940008640289309,1.2940008640289309
2024-02,import_pastcov_lag-2,0.4727391302585602,-0.4727391302585602,0.4727391302585602
2024-02,unemployment_rate_pastcov_lag-2,0.436674952507019,0.436674952507019,0.436674952507019
2024-03,export_pastcov_lag-1,1.4842783212661743,1.4842783212661743,1.4842783212661743
2024-03,import_pastcov_lag-2,0.5830128788948059,-0.5830128788948059,0.5830128788948059
2024-03,cpi_pastcov_lag-2,0.1377516984939575,0.1377516984939575,0.1377516984939575
2024-04,export_pastcov_lag-1,1.6581541299819946,1.6581541299819946,1.6581541299819946
2024-04,cpi_pastcov_lag-2,0.5026634335517883,0.5026634335517883,0.5026634335517883
2024-04,import_pastcov_lag-2,0.4661118686199188,-0.4661118686199188,0.4661118686199188
2024-05,export_pastcov_lag-1,1.8413511514663696,1.8413511514663696,1.8413511514663696
2024-05,cpi_pastcov_lag-2,0.7012500762939453,0.7012500762939453,0.7012500762939453
2024-05,import_pastcov_lag-2,0.5020961165428162,-0.5020961165428162,0.5020961165428162
2024-06,export_pastcov_lag-1,2.0388262271881104,2.0388262271881104,2.0388262271881104
2024-06,import_pastcov_lag-2,0.4992446005344391,-0.4992446005344391,0.4992446005344391
2024-06,cpi_pastcov_lag-2,0.389362633228302,0.389362633228302,0.389362633228302
2024-07,export_pastcov_lag-2,1.176607370376587,1.176607370376587,1.176607370376587
2024-07,import_pastcov_lag-2,0.5678440928459167,-0.5678440928459167,0.5678440928459167
2024-07,unemployment_rate_pastcov_lag-2,0.3448430299758911,0.3448430299758911,0.3448430299758911
2024-08,export_pastcov_lag-2,1.0645004510879517,1.0645004510879517,1.0645004510879517
2024-08,import_pastcov_lag-2,0.6043244004249573,-0.6043244004249573,0.6043244004249573
2024-08,unemployment_rate_pastcov_lag-2,0.4346944093704223,0.4346944093704223,0.4346944093704223
2024-09,export_pastcov_lag-2,0.972917914390564,0.972917914390564,0.972917914390564
2024-09,import_pastcov_lag-2,0.8278148174285889,-0.8278148174285889,0.8278148174285889
2024-09,cpi_pastcov_lag-1,0.2429073750972747,-0.2429073750972747,0.2429073750972747
2024-10,export_pastcov_lag-1,0.9636844396591188,0.9636844396591188,0.9636844396591188
2024-10,import_pastcov_lag-2,0.4599044919013977,-0.4599044919013977,0.4599044919013977
2024-10,cpi_pastcov_lag-1,0.4516379535198211,-0.4516379535198211,0.4516379535198211
2024-11,export_pastcov_lag-1,0.8173458576202393,0.8173458576202393,0.8173458576202393
2024-11,unemployment_rate_pastcov_lag-2,0.4614975154399872,0.4614975154399872,0.4614975154399872
2024-11,import_pastcov_lag-2,0.4461064338684082,-0.4461064338684082,0.4461064338684082
2024-12,มาตรการของรัฐ_pastcov_lag-2,0.6180249452590942,0.6180249452590942,0.6180249452590942
2024-12,export_pastcov_lag-1,0.5483056902885437,0.5483056902885437,0.5483056902885437
2024-12,cpi_pastcov_lag-1,0.4002304077148437,-0.4002304077148437,0.4002304077148437
2025-01,gdp_pastcov_lag-1,0.8208375573158264,0.8208375573158264,0.8208375573158264
2025-01,export_pastcov_lag-1,0.6303040385246277,0.6303040385246277,0.6303040385246277
2025-01,import_pastcov_lag-2,0.569410502910614,-0.569410502910614,0.569410502910614
2025-02,unemployment_rate_pastcov_lag-2,1.1751734018325806,1.1751734018325806,1.1751734018325806
2025-02,export_pastcov_lag-1,0.6744513511657715,0.6744513511657715,0.6744513511657715
