date,การเมือง,ภัยพิบัติ/โรคระบาด,มาตรการของรัฐ,ราคาน้ำมันเชื้อเพลิง,ราคาสินค้าเกษตร,สังคม/ความมั่นคง,เศรษฐกิจโลก,เศรษฐกิจไทย
2023-07,0.5,,0.6205,0.5556,0.4429,0.5375,0.5,0.5733
2023-08,0.6125,0.45,0.625,0.5667,0.6286,0.45,0.6,0.6203
2023-09,0.5143,,0.5864,0.4875,0.575,0.535,0.425,0.598
2023-10,0.55,0.65,0.619,0.5429,0.5286,0.35,0.51,0.6141
2023-11,0.525,,0.6,0.5286,0.5312,0.35,0.75,0.6298
2023-12,0.575,,0.5429,0.4917,0.5583,0.51,0.425,0.6027
2024-01,0.48,0.35,0.6206,0.35,0.55,0.65,0.53,0.6011
2024-02,0.5167,,0.6442,0.575,0.675,0.5571,0.68,0.6263
2024-03,0.35,,0.6389,0.55,0.53,0.625,0.45,0.5905
2024-04,0.4375,,0.6217,0.4917,0.6833,0.5667,0.5269,0.6084
2024-05,0.45,0.35,0.6104,0.5667,0.55,0.4786,0.4889,0.5932
2024-06,0.5167,0.75,0.6294,0.5,0.69,0.6188,0.5,0.62
2024-07,0.35,0.35,0.6071,0.575,0.4417,0.5786,0.57,0.6126
2024-08,,,0.6133,0.5833,0.5643,0.5722,0.5056,0.5878
2024-09,0.35,0.25,0.5846,0.6167,0.55,0.55,0.64,0.6237
2024-10,0.25,,0.625,,0.5625,0.6,0.5167,0.5711
2024-11,0.4833,0.5833,0.6214,0.3667,0.55,0.575,0.525,0.5913
2024-12,0.4167,,0.6676,0.525,0.5917,0.5929,0.5667,0.6353
2025-01,0.45,0.525,0.6423,0.65,0.5333,0.4909,0.45,0.5911
2025-02,0.7,0.4,0.6565,0.65,0.75,0.5938,0.4875,0.599
2025-03,0.5,,0.6094,0.85,0.7167,0.55,0.3938,0.5926
2025-04,0.45,0.35,0.64,0.25,0.25,0.5375,0.4722,0.5644
2025-05,0.5833,,0.6292,0.65,0.75,0.55,0.4917,0.6524
2025-06,0.525,0.35,0.6,,0.45,0.455,0.33,0.5927
2025-07,0.6,,0.6214,0.75,0.6,0.5056,0.475,0.6405
2025-08,0.5333,,0.6438,0.5,0.65,0.35,0.3571,0.5663
2025-09,0.65,,0.5962,0.45,0.625,0.5833,0.3944,0.5971
2025-10,0.5333,,0.6395,0.65,0.45,0.4731,0.5812,0.6136
2025-11,,,0.6312,0.65,0.3833,0.65,0.55,0.5873
2025-12,0.4167,,0.6167,0.25,0.4625,0.4,0.55,0.6444
2026-01,0.65,,0.75,,,,,0.5333
2026-02,0.5,,,,0.45,0.25,0.55,0.5625
2026-03,0.55,,0.45,,0.55,0.5,0.45,0.65
2026-04,,,0.6,,,0.65,0.65,0.53
2026-05,0.75,,0.55,0.55,0.75,0.65,0.5,0.6214
2026-06,,,,0.75,0.55,0.65,0.5833,0.56
2026-07,0.25,,0.65,0.65,,,,0.7
2026-08,0.5,,0.75,0.75,,0.5167,0.5,0.3833
2026-09,0.65,,0.6,0.65,,0.75,0.5,0.7125
2026-10,0.7,,,,,0.55,0.55,0.6833
2026-11,0.55,,0.65,,,0.5833,,0.6667
2026-12,0.45,0.25,0.6167,,,,0.55,0.5667
