date,value
1/14/1998,367.69
1/15/1998,364.13
1/16/1998,383.01
1/19/1998,420.72
1/20/1998,413.79
1/21/1998,432.86
1/22/1998,420.8
1/23/1998,422.87
1/26/1998,424.51
1/27/1998,423.1
1/28/1998,434.22
1/29/1998,447.24
1/30/1998,495.23
2/2/1998,554.75
2/3/1998,558.92
2/4/1998,505.59
2/5/1998,531.11
2/6/1998,535.98
2/9/1998,530.5
2/10/1998,524.52
2/12/1998,509.33
2/13/1998,499.97
2/16/1998,484.06
2/17/1998,502.53
2/18/1998,513.27
2/19/1998,510.41
2/20/1998,521.83
2/23/1998,521.82
2/24/1998,517.06
2/25/1998,512.98
2/26/1998,524.06
2/27/1998,528.42
3/2/1998,538.17
3/3/1998,539.72
3/4/1998,528.24
3/5/1998,509.23
3/6/1998,508.07
3/9/1998,509.98
3/10/1998,508.55
3/11/1998,502.79
3/12/1998,498.67
3/13/1998,514.24
3/16/1998,512.54
3/17/1998,510.46
3/18/1998,500.46
3/19/1998,503.55
3/20/1998,499.75
3/23/1998,503.67
3/24/1998,490.27
3/25/1998,480.07
3/26/1998,470.67
3/27/1998,469.85
3/30/1998,465.09
3/31/1998,459.11
4/1/1998,456.57
4/2/1998,453.88
4/3/1998,442.96
4/7/1998,430.04
4/8/1998,444.33
4/9/1998,444.23
4/10/1998,446.13
4/16/1998,431.63
4/17/1998,438.99
4/20/1998,434.37
4/21/1998,435.23
4/22/1998,436.73
4/23/1998,427.41
4/24/1998,424.79
4/27/1998,418.79
4/28/1998,419.55
4/29/1998,412.25
4/30/1998,412.13
5/4/1998,400.71
5/6/1998,393.36
5/7/1998,393.95
5/8/1998,386.42
5/12/1998,381.65
5/13/1998,370.92
5/14/1998,368.82
5/15/1998,369.43
5/18/1998,357.21
5/19/1998,346.46
5/20/1998,355.51
5/21/1998,355.91
5/22/1998,355.82
5/25/1998,358.9
5/26/1998,354.54
5/27/1998,340.12
5/28/1998,333.9
5/29/1998,325.59
6/1/1998,313.04
6/2/1998,313.64
6/3/1998,313.21
6/4/1998,318.81
6/5/1998,318.16
6/8/1998,312.37
6/9/1998,308.25
6/10/1998,292.1
6/11/1998,283.92
6/12/1998,279.37
6/15/1998,263.39
6/16/1998,257.44
6/17/1998,272.94
6/18/1998,295.15
6/19/1998,284.32
6/22/1998,275.9
6/23/1998,274.06
6/24/1998,267.74
6/25/1998,264.09
6/26/1998,264.98
6/29/1998,271.2
6/30/1998,267.33
7/2/1998,277.98
7/3/1998,273.74
7/6/1998,271
7/7/1998,272.28
7/8/1998,273.43
7/10/1998,274.26
7/13/1998,266.75
